,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
57,Fécamp,49.7579,0.3746,11.84,97,17,5.04,FR,1651973927
58,Upernavik,72.7868,-56.1549,-14.66,85,15,2.54,GL,1651973927
59,Mataura,-46.1927,168.8643,14.71,96,100,0.9,NZ,1651973928
60,Tombouctou,20.0,-3.0,26.99,12,0,6.05,ML,1651973928
61,Flinders,-34.5833,150.8552,21.14,52,0,4.02,AU,1651973785
62,Cockburn Town,21.4612,-71.1419,25.66,82,0,4.13,TC,1651973929
63,Antsla,57.8256,26.5406,5.93,92,98,3.12,EE,1651973930
64,Chifeng,42.2683,118.9636,13.39,25,100,1.27,CN,1651973931
65,Talnakh,69.4865,88.3972,-8.77,88,8,5.68,RU,1651973931
66,Tasiilaq,65.6145,-37.6368,-2.91,73,100,2.43,GL,1651973932
67,Athabasca,54.7169,-113.2854,6.23,68,53,6.74,CA,1651973933
68,Safita,34.8205,36.1153,12.96,80,0,1.62,SY,1651973933
69,Kahului,20.8947,-156.47,26.01,68,40,10.8,US,1651973689
70,Port Lincoln,-34.7333,135.8667,16.1,65,5,2.91,AU,1651973934
71,Cabo San Lucas,22.8909,-109.9124,30.17,34,0,2.57,MX,1651973772
72,Troitsko-Pechorsk,62.7084,56.1964,6.44,87,24,3.4,RU,1651973935
73,Bluff,-46.6,168.3333,14.89,92,100,2.35,NZ,1651973936
74,Tuatapere,-46.1333,167.6833,15.71,89,100,0.92,NZ,1651973937
75,George Town,5.4112,100.3354,29.97,74,20,4.63,MY,1651973746
76,Taltal,-25.4,-70.4833,15.36,81,69,0.78,CL,1651973938
77,Hilo,19.7297,-155.09,26.27,83,100,5.66,US,1651973806
78,Hualmay,-11.0964,-77.6139,18.46,88,24,3.89,PE,1651973940
79,Sikeston,36.8767,-89.5879,18.98,72,0,1.54,US,1651973889
80,Mar del Plata,-38.0023,-57.5575,16.08,83,0,6.17,AR,1651973819
81,Bambous Virieux,-20.3428,57.7575,24.56,88,75,3.09,MU,1651973941
82,Buala,-8.145,159.5921,29.08,74,38,4.28,SB,1651973942
83,Kapaa,22.0752,-159.319,27.99,77,100,7.72,US,1651973942
84,Mahébourg,-20.4081,57.7,24.58,88,75,3.09,MU,1651973943
85,Bengkulu,-3.8004,102.2655,26.79,72,100,1.3,ID,1651973671
86,Coquimbo,-29.9533,-71.3436,13.85,88,100,2.57,CL,1651973945
87,Eureka,40.8021,-124.1637,13.75,72,6,3.13,US,1651973760
88,Plouzané,48.3833,-4.6167,10.03,100,100,3.6,FR,1651973660
89,Hermanus,-34.4187,19.2345,14.68,81,100,1.94,ZA,1651973946
90,Vostok,46.4856,135.8833,3.38,81,100,5.7,RU,1651973947
91,Ambon City,-3.6954,128.1814,28.86,78,87,6.17,ID,1651973948
92,Sitka,57.0531,-135.33,10.94,58,75,8.23,US,1651973757
93,Vaini,-21.2,-175.2,26.09,78,40,5.66,TO,1651973949
94,Ust'-Omchug,61.15,149.6333,-0.34,91,100,0.37,RU,1651973950
95,Nampula,-15.1165,39.2666,18.97,100,20,1.54,MZ,1651973950
96,Te Anau,-45.4167,167.7167,15.77,86,100,1.75,NZ,1651973951
97,Bāgli,22.65,76.35,32.53,22,0,3.75,IN,1651973952
98,Castro,-24.7911,-50.0119,9.16,97,58,2.1,BR,1651973953
99,Esperance,-33.8667,121.9,16.91,39,51,7.47,AU,1651973953
100,Ulladulla,-35.35,150.4667,18.5,41,0,1.2,AU,1651973954
101,Mut,36.6439,33.4389,12.18,62,1,3.26,TR,1651973955
102,Touros,-5.1989,-35.4608,25.02,87,100,3.76,BR,1651973955
103,Örnsköldsvik,63.2909,18.7153,0.53,74,94,6.69,SE,1651973956
104,Opuwo,-18.0607,13.84,15.46,41,0,1.25,NA,1651973957
105,Strelka,58.0728,93.0344,0.48,68,100,6.85,RU,1651973958
106,Prince Rupert,54.3161,-130.3201,9.05,69,0,6.17,CA,1651973959
107,Hereford,52.0568,-2.7148,12.25,88,100,1.75,GB,1651973960
108,Florianópolis,-27.6146,-48.5012,15.57,82,0,1.03,BR,1651973842
109,Itakyry,-24.9333,-55.2167,15.64,90,97,1.17,PY,1651973961
110,Saint-Leu,-21.15,55.2833,22.46,70,1,2.05,RE,1651973961
111,Oussouye,12.485,-16.5469,22.49,76,3,2.41,SN,1651973962
112,Geraldton,-28.7667,114.6,20.23,60,40,4.12,AU,1651973963
113,Moerai,-22.4333,-151.3333,26.2,75,51,4.95,PF,1651973964
114,Kikwit,-5.041,18.8162,21.22,96,100,0.53,CD,1651973965
115,Laas,46.6166,10.7002,11.49,93,95,1.11,IT,1651973729
116,Provideniya,64.3833,-173.3,0.65,92,100,3.49,RU,1651973966
117,Saskylakh,71.9167,114.0833,-10.9,90,53,6.19,RU,1651973967
118,Butaritari,3.0707,172.7902,27.86,75,16,7.27,KI,1651973968
119,Glendive,47.1053,-104.7125,16.79,39,0,9.77,US,1651973772
120,Biak,-0.9131,122.8766,27.41,80,77,2.22,ID,1651973969
121,Mossamedes,-15.1961,12.1522,21.57,74,0,1.74,AO,1651973969
122,Tiksi,71.6872,128.8694,-7.94,79,25,2.34,RU,1651973970
123,Vilhena,-12.7406,-60.1458,19.64,73,7,1.16,BR,1651973971
124,Toora-Khem,52.4675,96.11,4.25,69,100,3.86,RU,1651973971
125,Chokurdakh,70.6333,147.9167,-8.58,87,99,4.25,RU,1651973972
126,Río Gallegos,-51.6226,-69.2181,8.03,66,0,0.51,AR,1651973973
127,Awjilah,29.1081,21.2869,18.81,57,56,6.11,LY,1651973974
128,Torbay,47.6666,-52.7314,2.09,85,100,1.03,CA,1651973743
129,Marawi,7.9986,124.2928,28.54,61,51,1.61,PH,1651973975
130,Judaberg,59.1659,5.8732,5.44,68,73,5.28,NO,1651973976
131,Kavaratti,10.5669,72.642,29.11,69,85,4.88,IN,1651973976
132,Ribeira Grande,38.5167,-28.7,16.19,66,94,1.69,PT,1651973977
133,Yukhnov,54.7444,35.2297,8.36,90,98,3.37,RU,1651973978
134,Anito,12.4497,125.2886,29.36,74,26,5.05,PH,1651973978
135,Burnie,-41.0667,145.9167,15.17,59,35,4.82,AU,1651973979
136,Ponta do Sol,32.6667,-17.1,18.17,71,71,3.09,PT,1651973980
137,Van Buren,35.4368,-94.3483,24.01,67,0,3.09,US,1651973735
138,Otradnoye,59.7775,30.8181,7.03,94,100,3.36,RU,1651973981
139,Thessalon,46.2501,-83.5666,5.16,65,54,1.01,CA,1651973981
140,Smithers,54.7804,-127.1743,9.18,46,75,6.17,CA,1651973982
141,Skjervøy,70.0311,20.9714,1.0,89,100,13.19,NO,1651973983
142,Nantucket,41.2835,-70.0995,9.06,84,100,9.26,US,1651973983
143,Sulangan,11.1373,123.7228,28.57,75,73,5.88,PH,1651973984
144,Saint-Philippe,-21.3585,55.7679,20.77,85,40,5.29,RE,1651973984
145,Iqaluit,63.7506,-68.5145,-2.15,59,75,2.57,CA,1651973985
146,Hobart,-42.8794,147.3294,15.59,63,75,5.14,AU,1651973911
147,Bredasdorp,-34.5322,20.0403,12.21,91,29,0.39,ZA,1651973986
148,Slobodskoy,58.7322,50.1772,6.42,73,10,3.29,RU,1651973987
149,Mongu,-15.2484,23.1274,17.13,57,19,2.22,ZM,1651973987
150,Byumba,-1.5763,30.0675,13.11,93,100,1.55,RW,1651973988
151,Olden,61.8364,6.8064,4.41,95,92,0.74,NO,1651973989
152,Erzin,36.9559,36.2,12.73,79,0,1.09,TR,1651973989
153,Calvinia,-31.4707,19.776,6.08,85,0,1.71,ZA,1651973990
154,Longyearbyen,78.2186,15.6401,-11.09,57,20,3.6,SJ,1651973991
155,Kiryat Gat,31.61,34.7642,15.78,65,51,1.04,IL,1651973991
156,Maniitsoq,65.4167,-52.9,-3.55,78,3,4.07,GL,1651973992
157,Sept-Îles,50.2001,-66.3821,2.25,82,20,1.54,CA,1651973801
158,Nouadhibou,20.931,-17.0347,17.99,88,75,6.17,MR,1651973993
159,Barrow,71.2906,-156.7887,-3.99,86,100,3.09,US,1651973994
160,Tocopilla,-22.092,-70.1979,17.2,81,29,2.34,CL,1651973994
161,Severo-Kuril'sk,50.6789,156.125,9.63,79,98,4.31,RU,1651973995
162,Tucumã,-0.1833,-50.05,24.33,93,100,2.07,BR,1651973996
163,Avarua,-21.2078,-159.775,29.03,84,75,3.09,CK,1651973878
164,Cortland,42.6001,-76.083,10.82,57,0,1.54,US,1651973997
165,Kaliling,9.9804,122.4814,29.25,71,96,5.97,PH,1651973998
166,Norman Wells,65.282,-126.8329,7.02,49,75,2.57,CA,1651973998
167,Santa Marta,11.2408,-74.199,30.03,72,100,2.68,CO,1651973995
168,Saryg-Sep,51.5,95.6,5.69,80,100,2.67,RU,1651973999
169,Fortuna,40.5982,-124.1573,12.21,68,75,5.14,US,1651974000
170,Ahipara,-35.1667,173.1667,19.68,61,16,1.77,NZ,1651974001
171,Khatanga,71.9667,102.5,-10.13,92,98,4.73,RU,1651974003
172,Carnarvon,-24.8667,113.6333,24.04,50,40,3.09,AU,1651974004
173,Aleksandrovskiy Zavod,50.9237,117.9374,16.86,22,4,3.96,RU,1651974005
174,Adrar,20.5022,-10.0711,30.04,14,35,3.58,MR,1651974006
175,Havre-St-Pierre,50.2334,-63.5986,2.0,86,0,3.6,CA,1651974007
176,Yangi Marg`ilon,40.4272,71.7189,20.4,56,0,3.09,UZ,1651974008
177,Naze,28.3667,129.4833,22.51,79,100,4.39,JP,1651974009
178,Hithadhoo,-0.6,73.0833,28.78,76,19,6.92,MV,1651974010
179,Codrington,-38.2667,141.9667,14.31,66,73,3.94,AU,1651973786
180,Mariehamn,60.0973,19.9348,-1.08,93,0,1.54,AX,1651974011
181,Port Hueneme,34.1478,-119.1951,22.73,68,0,6.69,US,1651974012
182,Shingū,33.7333,135.9833,22.48,53,3,2.21,JP,1651974013
183,Kuching,1.55,110.3333,26.12,94,20,1.54,MY,1651974013
184,São Filipe,14.8961,-24.4956,22.66,80,9,3.69,CV,1651974014
185,Olinda,-8.0089,-34.8553,24.85,88,40,2.57,BR,1651974015
186,Aswān,24.0934,32.907,24.35,17,3,3.49,EG,1651974016
187,Abaetetuba,-1.7181,-48.8825,24.15,95,100,1.88,BR,1651974016
188,Löningen,52.7333,7.7667,6.01,93,77,3.31,DE,1651974017
189,Kattivākkam,13.2167,80.3167,30.05,90,100,1.87,IN,1651974018
190,Nikolskoye,59.7035,30.7861,6.94,94,100,3.41,RU,1651974020
191,Vanimo,-2.6741,141.3028,30.57,67,19,3.54,PG,1651974020
192,Alta Floresta,-9.8756,-56.0861,23.9,100,75,1.54,BR,1651974021
193,Cayenne,4.9333,-52.3333,27.27,1,0,1.54,GF,1651973879
194,Russell,32.3502,-85.1999,20.78,65,0,5.14,US,1651973727
195,Batemans Bay,-35.7167,150.1833,15.61,40,0,1.0,AU,1651974022
196,Bethel,41.3712,-73.414,9.2,51,100,4.12,US,1651973749
197,Liverpool,53.4106,-2.9779,11.55,86,20,3.09,GB,1651974023
198,Brae,60.3964,-1.353,5.91,74,98,2.7,GB,1651974024
199,Aksu,41.1231,80.2644,23.21,29,1,2.1,CN,1651974025
200,Parkes,-33.1333,148.1833,15.2,55,0,3.06,AU,1651974026
201,Tarauacá,-8.1614,-70.7656,23.49,84,59,0.54,BR,1651974026
202,Clyde River,70.4692,-68.5914,-6.87,93,100,1.54,CA,1651974027
203,Vallenar,-28.5708,-70.7581,13.1,88,75,1.21,CL,1651974027
204,Vila Franca do Campo,37.7167,-25.4333,19.0,93,79,0.41,PT,1651974028
205,Asău,46.4333,26.4,6.51,81,21,1.03,RO,1651974029
206,Sorong,-0.8833,131.25,29.16,72,31,1.58,ID,1651974029
207,Henties Bay,-22.116,14.2845,13.38,89,0,4.52,NA,1651974030
208,Abéché,13.8292,20.8324,27.9,16,29,2.62,TD,1651974030
209,Yulara,-25.2406,130.9889,14.91,38,0,7.72,AU,1651974031
210,Lüderitz,-26.6481,15.1594,11.67,77,0,7.36,NA,1651974032
211,East London,-33.0153,27.9116,16.05,88,100,4.81,ZA,1651974032
212,Mikhaylovka,50.06,43.2379,3.72,59,9,3.27,RU,1651974033
213,Callaway,30.153,-85.5699,24.39,78,0,4.12,US,1651974034
214,Bandarbeyla,9.4942,50.8122,27.34,86,91,3.81,SO,1651974036
215,Soanierana Ivongo,-16.9167,49.5833,23.21,92,61,0.62,MG,1651974037
216,Cherskiy,68.75,161.3,-1.04,94,100,7.1,RU,1651974037
217,Kashgar,39.4547,75.9797,22.56,17,0,5.0,CN,1651974038
218,Almaznyy,48.0448,40.045,4.26,57,85,3.19,RU,1651974038
219,Half Moon Bay,37.4636,-122.4286,16.59,72,40,14.4,US,1651974008
220,Sawtell,-30.3833,153.1,20.01,34,30,5.14,AU,1651974039
221,Repalle,16.0167,80.85,30.48,67,35,2.95,IN,1651974040
222,North Bend,43.4065,-124.2243,10.51,88,100,5.66,US,1651974041
223,Baghlan,36.1307,68.7083,27.16,30,0,1.27,AF,1651974041
224,Tsumeb,-19.2333,17.7167,16.4,33,0,3.64,NA,1651974042
225,Port Elizabeth,-33.918,25.5701,14.62,79,0,2.57,ZA,1651973768
226,Kisangani,0.5167,25.2,20.28,98,100,0.52,CD,1651974043
227,Black River,18.0264,-77.8487,25.17,82,0,4.46,JM,1651974043
228,Loutrós,40.5883,22.3994,14.63,74,90,1.06,GR,1651974044
229,Vuktyl,63.8567,57.3094,4.61,93,100,3.32,RU,1651974045
230,Bud,39.447,-86.1758,15.99,62,3,4.02,US,1651974045
231,Suamico,44.6319,-88.0393,12.43,54,0,4.63,US,1651974046
232,Guarapari,-20.6667,-40.4975,21.18,90,13,4.97,BR,1651974047
233,College,64.8569,-147.8028,9.0,80,100,4.12,US,1651974047
234,Tupanatinga,-8.7533,-37.3397,18.49,96,27,3.29,BR,1651974048
235,Amapá,1.0,-52.0,22.43,99,100,0.93,BR,1651974049
236,Raglan,-37.8,174.8833,20.8,65,28,2.69,NZ,1651974049
237,Saint-Joseph,-21.3667,55.6167,20.21,80,19,4.97,RE,1651974050
238,Basco,20.4487,121.9702,28.0,78,75,6.35,PH,1651974051
239,Capoterra,39.1763,8.9718,14.74,90,0,1.54,IT,1651974052
240,Grand Gaube,-20.0064,57.6608,24.65,73,22,0.89,MU,1651974053
241,Tazmalt,36.3868,4.3989,10.98,78,34,1.26,DZ,1651974054
242,San Rafael,-34.6177,-68.3301,16.65,36,51,4.46,AR,1651973964
243,Upington,-28.4478,21.2561,9.21,81,0,3.6,ZA,1651974055
244,São Félix do Xingu,-6.6447,-51.995,22.79,90,6,0.57,BR,1651974055
245,Kumul,42.8,93.45,24.78,20,100,4.81,CN,1651974056
246,Vestmannaeyjar,63.4427,-20.2734,7.89,88,100,11.11,IS,1651974057
247,Saint Anthony,45.0205,-93.218,21.96,29,0,6.69,US,1651974057
248,San-Pédro,4.7485,-6.6363,27.3,78,100,2.03,CI,1651974058
249,San Luis,-33.295,-66.3356,15.44,63,95,5.05,AR,1651974058
250,Rome,43.2128,-75.4557,9.08,56,0,1.54,US,1651974059
251,Pandan,14.0453,124.1694,30.19,70,16,5.24,PH,1651974060
252,Mount Gambier,-37.8333,140.7667,14.95,72,100,3.6,AU,1651974060
253,Ust'-Ishim,57.6935,71.1665,7.24,82,86,2.27,RU,1651974061
254,Bartlesville,36.7473,-95.9808,23.97,57,0,4.63,US,1651974062
255,Cidreira,-30.1811,-50.2056,17.4,75,0,4.29,BR,1651974062
256,Verkhniy Naur,43.6103,45.2454,8.53,92,100,3.46,RU,1651974063
257,Buraidah,26.326,43.975,21.25,23,3,5.1,SA,1651974064
258,São Luís,-2.5297,-44.3028,26.11,94,75,2.57,BR,1651974065
259,Severo-Yeniseyskiy,60.3725,93.0408,-5.38,79,100,7.02,RU,1651974065
260,Kamogawa,35.1,140.1,15.06,80,100,6.36,JP,1651974066
261,Dicabisagan,17.0818,122.4157,30.29,64,93,2.47,PH,1651974067
262,Nemuro,43.3236,145.575,8.6,69,3,7.91,JP,1651974069
263,Gibara,21.1097,-76.1317,27.62,78,68,2.29,CU,1651974069
264,Husavik,66.0449,-17.3389,3.92,73,100,3.4,IS,1651974070
265,Hofn,64.2539,-15.2082,6.18,71,100,3.78,IS,1651974071
266,Lilongwe,-13.9669,33.7873,15.61,81,48,0.89,MW,1651974072
267,Estelle,29.8458,-90.1067,29.0,59,0,1.54,US,1651974073
268,Renqiu,38.6989,116.0936,9.12,79,100,2.36,CN,1651974073
269,Nome,64.5011,-165.4064,0.09,93,100,7.72,US,1651974074
270,Jiaozuo,35.2397,113.2331,16.14,33,100,3.15,CN,1651974075
271,Hasaki,35.7333,140.8333,20.16,54,97,9.36,JP,1651974076
272,Verkhoyansk,67.5447,133.385,-2.53,69,100,2.16,RU,1651974077
273,Sítio Novo do Tocantins,-5.5183,-47.4611,22.96,93,94,0.77,BR,1651974077
274,Quixadá,-4.9714,-39.0153,22.28,95,30,1.05,BR,1651974078
275,Simbahan,6.3032,120.5836,29.09,74,100,2.65,PH,1651974078
276,Tura,25.5198,90.2201,28.25,58,0,0.58,IN,1651974079
277,Bay Roberts,47.5999,-53.2648,3.36,69,51,1.79,CA,1651974080
278,Chapais,49.7834,-74.8492,2.88,86,0,2.09,CA,1651974080
279,Saint-Pierre,-21.3393,55.4781,20.82,73,0,2.57,RE,1651974081
280,Kavieng,-2.5744,150.7967,29.84,66,12,7.56,PG,1651974081
281,Poum,-20.2333,164.0167,25.73,61,44,11.11,NC,1651974082
282,Kununurra,-15.7667,128.7333,26.99,24,2,5.66,AU,1651974083
283,Fairbanks,64.8378,-147.7164,9.01,78,100,4.12,US,1651973858
284,Hövelhof,51.8167,8.65,11.74,95,39,2.37,DE,1651974084
285,Rabo de Peixe,37.8,-25.5833,18.49,85,75,1.03,PT,1651974084
286,Bonfim,3.0833,-59.95,24.49,86,78,0.67,BR,1651974085
287,San Cristobal,7.7669,-72.225,24.1,98,100,1.53,VE,1651974085
288,Fondi,41.3541,13.4313,16.57,80,100,2.62,IT,1651974086
289,Kalamnūri,19.6667,77.3333,33.17,24,11,2.4,IN,1651974087
290,Petropavlovsk-Kamchatskiy,53.0452,158.6483,16.33,42,20,7.0,RU,1651974087
291,Kokopo,-4.352,152.2633,29.51,66,30,1.75,PG,1651974088
292,Laguna,38.421,-121.4238,23.75,45,0,6.69,US,1651974088
293,Ribas do Rio Pardo,-20.4431,-53.7592,16.77,67,0,2.1,BR,1651974089
294,Karratha,-20.7377,116.8463,28.01,38,93,9.14,AU,1651974089
295,Aleksandrovskaya,43.4833,43.65,5.88,93,100,0.0,RU,1651974090
296,Moose Factory,51.2585,-80.6094,4.0,60,0,1.54,CA,1651973800
297,Santomera,38.0615,-1.0488,16.4,76,2,0.45,ES,1651974091
298,Boyolangu,-8.1181,111.8935,28.68,77,70,1.58,ID,1651974091
299,Margate,51.3813,1.3862,9.83,89,1,3.13,GB,1651974092
300,Richards Bay,-28.783,32.0377,18.87,92,0,1.52,ZA,1651974093
301,Clonakilty,51.6231,-8.8706,10.05,90,55,1.97,IE,1651974093
302,Morant Bay,17.8815,-76.4093,26.79,84,4,2.75,JM,1651974094
303,San Patricio,28.017,-97.5169,29.19,81,0,6.48,US,1651974095
304,Katsuura,35.1333,140.3,15.31,75,100,8.07,JP,1651974099
305,Alice Springs,-23.7,133.8833,14.75,38,0,7.2,AU,1651974099
306,Yellowknife,62.456,-114.3525,2.29,87,100,9.77,CA,1651973942
307,Macapá,0.0389,-51.0664,26.99,89,20,1.03,BR,1651974100
308,Tacna,-18.0056,-70.2483,13.5,95,59,0.89,PE,1651974101
309,Tautira,-17.7333,-149.15,27.3,74,4,0.2,PF,1651974101
310,Arraial do Cabo,-22.9661,-42.0278,22.23,80,82,4.15,BR,1651974009
311,Arys,42.4252,68.795,21.47,45,3,4.02,KZ,1651974102
312,Patea,-39.7583,174.4833,19.57,65,95,5.06,NZ,1651974103
313,Khani,41.9563,42.9566,5.76,100,100,1.39,GE,1651974103
314,Zlobin,45.2924,14.6541,12.31,78,75,0.51,HR,1651974104
315,Hambantota,6.1241,81.1185,26.19,100,75,1.54,LK,1651974105
316,Santa María del Oro,25.9333,-105.3667,25.23,12,0,9.09,MX,1651974105
317,Gizo Government Station,-8.103,156.8419,29.06,72,79,2.95,SB,1651974106
318,Leshukonskoye,64.8989,45.7622,6.62,90,59,4.67,RU,1651974107
319,Hobyo,5.3505,48.5268,27.94,76,78,7.4,SO,1651974107
320,Souillac,-20.5167,57.5167,23.21,88,75,3.09,MU,1651974108
321,San Miguel de Tucumán,-26.8241,-65.2226,17.0,82,100,1.03,AR,1651974109
322,Comodoro Rivadavia,-45.8667,-67.5,19.92,49,0,3.6,AR,1651973900
323,Houma,29.5958,-90.7195,26.12,82,0,2.06,US,1651974109
324,Kindia,10.0569,-12.8658,23.66,87,47,1.2,GN,1651974110
325,Narsaq,60.9167,-46.05,10.12,63,100,3.34,GL,1651974111
326,Tevriz,57.509,72.4042,5.62,83,96,1.66,RU,1651974112
327,Egvekinot,66.3167,-179.1667,-3.46,96,100,3.26,RU,1651974112
328,Zonguldak,41.25,31.8333,3.12,93,6,1.6,TR,1651974113
329,Baturité,-4.3286,-38.8847,22.77,95,93,0.96,BR,1651974113
330,Port Augusta,-32.5,137.7667,17.85,38,0,0.82,AU,1651973936
331,Dunedin,-45.8742,170.5036,14.89,82,100,2.54,NZ,1651974114
332,Lázaro Cárdenas,17.9583,-102.2,24.89,77,12,3.36,MX,1651974115
333,Jacareacanga,-6.2222,-57.7528,22.8,98,47,0.42,BR,1651974116
334,Saint George,37.1041,-113.5841,31.33,14,0,7.72,US,1651973960
335,Cap-aux-Meules,47.3821,-61.8597,1.03,75,0,4.12,CA,1651974116
336,Grafton,42.207,-71.6856,7.73,50,100,1.34,US,1651974117
337,Viedma,-40.8135,-62.9967,18.79,38,7,7.83,AR,1651974028
338,Mīrābād,30.4362,61.8383,29.21,21,6,4.8,AF,1651974118
339,Zhongxing,33.7039,118.6792,22.81,33,23,5.58,CN,1651974119
340,Alyangula,-13.8483,136.4192,28.93,61,40,4.63,AU,1651974119
341,Adré,13.4667,22.2,27.42,12,100,3.77,TD,1651974120
342,Mount Darwin,-16.7725,31.5838,15.87,80,7,0.88,ZW,1651974121
343,Esim,4.8699,-2.2405,26.13,86,75,1.78,GH,1651974121
344,Moussoro,13.6408,16.4901,30.33,26,27,3.15,TD,1651974122
345,Ust-Kuyga,70.0167,135.6,-5.34,76,100,3.17,RU,1651974123
346,Kogon,39.7228,64.5517,21.02,60,0,3.09,UZ,1651974124
347,Botwood,49.1499,-55.3482,1.06,71,8,3.8,CA,1651974124
348,Isangel,-19.55,169.2667,25.7,57,4,8.12,VU,1651973867
349,Genteng,-8.3667,114.15,29.32,72,92,1.48,ID,1651974125
350,Canutama,-6.5339,-64.3831,23.11,97,100,1.44,BR,1651974126
351,Karpogory,64.0019,44.4451,7.91,88,73,4.85,RU,1651974127
352,Deputatsky,69.3,139.9,-8.1,69,99,1.54,RU,1651974127
353,Cairns,-16.9167,145.7667,26.73,88,100,4.63,AU,1651974128
354,Manzhouli,49.6,117.4333,16.55,23,0,4.98,CN,1651974128
355,Ruteng,-8.6136,120.4721,24.57,62,54,0.83,ID,1651974129
